Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365515	25.0	5	0.101	1711157862.42	61.6	308.2	39.3	43.3	216.3	8.652	0.031	131.781	-80.249	620.876	2024	3	23	1	37	42
365518	25.0	2	0.04	1711157926.419	79.5	159.0	35.1	55.8	111.6	4.464	0.016	137.037	-76.71	621.267	2024	3	23	1	38	46
365521	25.0	1	0.02	1711157990.419	35.9	35.9	35.9	25.2	25.2	1.008	0.004	139.992	-73.102	621.652	2024	3	23	1	39	50
365524	25.0	3	0.061	1711158054.419	14.4	43.3	14.4	10.1	30.4	1.216	0.004	141.841	-69.462	622.046	2024	3	23	1	40	54
365527	25.0	5	0.101	1711158118.419	57.5	287.7	37.3	40.4	201.9	8.076	0.029	143.079	-65.804	622.43	2024	3	23	1	41	58
365560	25.0	6	0.121	1711158822.42	34.0	203.8	17.4	23.8	143.0	5.72	0.021	146.167	-21.569	625.196	2024	3	23	1	53	42
365563	25.0	1	0.02	1711158886.419	145.6	145.6	48.5	102.2	102.2	4.088	0.015	146.158	-17.875	625.173	2024	3	23	1	54	46
365566	25.0	4	0.081	1711158950.42	20.0	80.1	12.2	14.0	56.2	2.248	0.008	146.139	-14.179	625.096	2024	3	23	1	55	50
365572	25.0	3	0.061	1711159078.419	28.5	85.5	26.6	20.0	60.0	2.4	0.009	146.081	-6.787	624.785	2024	3	23	1	57	58
365605	25.0	1	0.02	1711159783.42	107.3	107.3	53.6	75.3	75.3	3.012	0.011	146.023	37.584	619.042	2024	3	23	2	9	43
365608	25.0	1	0.02	1711159847.419	41.4	41.4	20.7	29.1	29.1	1.164	0.004	146.132	41.281	618.357	2024	3	23	2	10	47
365611	25.0	3	0.061	1711159911.419	27.7	83.1	27.7	19.4	58.3	2.332	0.008	146.284	44.977	617.673	2024	3	23	2	11	51
365623	25.0	13	0.263	1711160167.42	43.8	569.8	29.3	30.8	399.9	15.996	0.058	147.822	60.689	614.767	2024	3	23	2	16	7
365626	1.0	3	1.515	1711160231.42	39.6	118.7	25.8	27.8	83.3	83.3	0.3	148.645	64.615	614.077	2024	3	23	2	17	11
365629	22.754	149	3.307	1711160295.419	39.8	5933.2	26.1	27.9	4164.0	183.001	0.659	149.837	68.53	613.413	2024	3	23	2	18	15
365632	25.0	50	1.01	1711160359.42	41.2	2058.6	27.9	28.9	1444.7	57.788	0.208	151.641	72.427	612.784	2024	3	23	2	19	19
365638	25.0	2	0.04	1711160487.419	48.1	96.2	48.1	33.8	67.5	2.7	0.01	159.934	80.085	611.642	2024	3	23	2	21	27
365641	25.0	10	0.202	1711160551.42	53.1	531.1	29.4	37.3	372.7	14.908	0.054	171.847	83.673	611.139	2024	3	23	2	22	31
365644	25.0	6	0.121	1711160615.419	28.7	172.2	20.3	20.2	120.9	4.836	0.017	-153.228	86.382	610.683	2024	3	23	2	23	35
365647	23.903	5	0.106	1711160679.419	41.6	207.8	22.7	29.2	145.8	6.1	0.022	-92.943	85.824	610.281	2024	3	23	2	24	39
365653	25.0	10	0.202	1711160807.519	68.9	689.1	39.9	48.4	483.6	19.344	0.07	-57.774	78.768	609.614	2024	3	23	2	26	47
365656	25.0	6	0.121	1711160871.519	26.8	161.0	16.5	18.8	113.0	4.52	0.016	-53.71	75.18	609.39	2024	3	23	2	27	51
365659	25.0	6	0.121	1711160935.42	63.1	378.3	27.6	44.2	265.5	10.62	0.038	-51.306	71.544	609.218	2024	3	23	2	28	55
365662	25.0	5	0.101	1711160999.42	58.1	290.5	29.7	40.8	203.9	8.156	0.029	-49.755	67.881	609.089	2024	3	23	2	29	59
365695	25.0	1	0.02	1711161703.419	5.3	5.3	5.3	3.7	3.7	0.148	0.001	-46.008	23.479	610.532	2024	3	23	2	41	43
365698	25.0	5	0.101	1711161767.419	34.9	174.6	14.0	24.5	122.5	4.9	0.018	-46.01	19.77	610.81	2024	3	23	2	42	47
365761	2.294	12	2.642	1711162855.419	36.8	441.6	21.0	25.8	309.9	135.092	0.486	-45.775	-46.944	616.143	2024	3	23	3	0	55
365797	25.0	3	0.061	1711163624.419	37.7	113.1	21.3	26.5	79.4	3.176	0.011	95.032	-83.818	620.623	2024	3	23	3	13	44
365800	25.0	3	0.061	1711163688.419	28.0	83.9	19.4	19.6	58.9	2.356	0.008	106.906	-80.487	621.014	2024	3	23	3	14	48
365803	25.0	5	0.101	1711163752.419	43.9	219.6	19.4	30.8	154.1	6.164	0.022	112.406	-76.956	621.416	2024	3	23	3	15	52
365806	25.0	4	0.081	1711163816.419	36.4	145.5	19.3	25.5	102.1	4.084	0.015	115.469	-73.352	621.816	2024	3	23	3	16	56
365809	25.0	3	0.061	1711163880.419	11.4	34.2	11.4	8.0	24.0	0.96	0.003	117.374	-69.713	622.208	2024	3	23	3	18	0
365842	25.0	3	0.061	1711164584.419	21.7	65.1	16.2	15.2	45.7	1.828	0.007	121.801	-25.52	625.339	2024	3	23	3	29	44
365848	25.0	1	0.02	1711164712.419	43.1	43.1	21.6	30.2	30.2	1.208	0.004	121.798	-18.132	625.335	2024	3	23	3	31	52
365851	25.0	4	0.081	1711164776.419	54.4	217.7	35.9	38.2	152.8	6.112	0.022	121.78	-14.437	625.252	2024	3	23	3	32	56
365854	25.0	1	0.02	1711164840.419	35.2	35.2	35.2	24.7	24.7	0.988	0.004	121.754	-10.741	625.126	2024	3	23	3	34	0
365878	25.0	3	0.061	1711165305.92	34.0	102.1	26.7	23.9	71.7	2.868	0.01	121.51	18.836	622.24	2024	3	23	3	41	45
365893	25.0	2	0.04	1711165608.419	48.2	96.4	24.1	33.8	67.7	2.708	0.01	121.656	37.325	619.123	2024	3	23	3	46	48
365896	25.0	1	0.02	1711165672.419	144.4	144.4	48.1	101.3	101.3	4.052	0.015	121.763	41.022	618.434	2024	3	23	3	47	52
365899	25.0	3	0.061	1711165736.419	42.0	126.1	16.2	29.5	88.5	3.54	0.013	121.912	44.718	617.735	2024	3	23	3	48	56
365902	25.0	4	0.081	1711165800.419	55.4	221.8	27.7	38.9	155.7	6.228	0.022	122.116	48.412	617.024	2024	3	23	3	50	0
365935	25.0	8	0.162	1711166504.419	87.8	702.4	34.9	61.6	492.9	19.716	0.071	-112.026	85.492	610.133	2024	3	23	4	1	44
365938	25.0	1	0.02	1711166568.419	26.7	26.7	26.7	18.7	18.7	0.748	0.003	-90.922	82.468	609.803	2024	3	23	4	2	48
