Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365253	25.0	15	0.303	1711152230.419	613.7	9205.1	30.5	430.7	6460.2	258.408	0.93	166.264	-69.309	622.051	2024	3	23	0	3	50
365256	24.684	19	0.389	1711152294.419	344.2	6539.9	30.9	241.6	4589.7	185.938	0.669	167.549	-65.407	622.45	2024	3	23	0	4	54
365259	25.0	20	0.404	1711152358.419	377.5	7550.7	26.4	265.0	5299.1	211.964	0.763	168.431	-61.493	622.839	2024	3	23	0	5	58
365262	25.0	34	0.687	1711152422.419	285.4	9702.9	27.0	200.3	6809.5	272.38	0.981	169.056	-57.571	623.214	2024	3	23	0	7	2
365265	25.0	142	2.869	1711152486.419	137.4	19504.3	25.1	96.4	13688.2	547.528	1.971	169.506	-53.644	623.568	2024	3	23	0	8	6
365268	25.0	144	2.909	1711152550.419	85.1	12253.2	27.0	59.7	8599.4	343.976	1.238	169.834	-49.714	623.894	2024	3	23	0	9	10
365271	25.0	48	0.97	1711152614.419	516.2	24778.6	31.0	362.3	17389.8	695.592	2.504	170.073	-45.781	624.19	2024	3	23	0	10	14
365274	25.0	19	0.384	1711152678.419	507.7	9646.3	27.3	356.3	6769.8	270.792	0.975	170.245	-41.846	624.454	2024	3	23	0	11	18
365277	25.0	17	0.343	1711152742.419	348.2	5919.6	22.7	244.4	4154.4	166.176	0.598	170.365	-37.91	624.676	2024	3	23	0	12	22
365280	25.0	15	0.303	1711152806.42	247.6	3714.2	24.1	173.8	2606.6	104.264	0.375	170.447	-33.972	624.857	2024	3	23	0	13	26
365283	25.0	10	0.202	1711152870.419	216.9	2169.2	24.1	152.2	1522.4	60.896	0.219	170.497	-30.033	624.99	2024	3	23	0	14	30
365286	25.0	12	0.242	1711152934.419	535.4	6425.0	34.7	375.8	4509.1	180.364	0.649	170.523	-26.094	625.076	2024	3	23	0	15	34
365289	25.0	8	0.162	1711152998.419	201.4	1610.8	28.5	141.3	1130.5	45.22	0.163	170.53	-22.153	625.11	2024	3	23	0	16	38
365292	25.0	1	0.02	1711153062.419	697.4	697.4	25.8	489.4	489.4	19.576	0.07	170.522	-18.212	625.081	2024	3	23	0	17	42
365295	25.0	4	0.081	1711153126.419	462.5	1849.9	17.4	324.6	1298.3	51.932	0.187	170.502	-14.27	625.0	2024	3	23	0	18	46
365298	25.0	3	0.061	1711153190.419	523.2	1569.7	44.7	367.2	1101.6	44.064	0.159	170.474	-10.328	624.856	2024	3	23	0	19	50
365301	25.0	5	0.101	1711153254.419	208.1	1040.6	22.9	146.1	730.3	29.212	0.105	170.44	-6.385	624.653	2024	3	23	0	20	54
365307	25.0	9	0.182	1711153382.419	242.5	2182.3	22.3	170.2	1531.6	61.264	0.221	170.363	1.502	624.082	2024	3	23	0	23	2
365310	25.0	7	0.141	1711153446.419	341.9	2393.1	21.9	239.9	1679.5	67.18	0.242	170.325	5.446	623.704	2024	3	23	0	24	6
365313	25.0	3	0.061	1711153510.419	118.8	356.3	12.8	83.4	250.1	10.004	0.036	170.29	9.39	623.269	2024	3	23	0	25	10
365316	25.0	12	0.242	1711153574.419	375.7	4508.7	23.9	263.7	3164.2	126.568	0.456	170.26	13.334	622.793	2024	3	23	0	26	14
365319	25.0	3	0.061	1711153638.419	130.7	392.2	32.3	91.7	275.2	11.008	0.04	170.238	17.279	622.259	2024	3	23	0	27	18
365322	25.0	3	0.061	1711153702.419	436.8	1310.4	22.2	306.5	919.6	36.784	0.132	170.227	21.224	621.696	2024	3	23	0	28	22
365325	25.0	6	0.121	1711153766.419	411.7	2470.4	30.2	289.0	1733.7	69.348	0.25	170.231	25.168	621.08	2024	3	23	0	29	26
365328	25.0	2	0.04	1711153830.419	391.0	782.0	34.2	274.4	548.8	21.952	0.079	170.252	29.113	620.426	2024	3	23	0	30	30
365331	25.0	3	0.061	1711153894.419	372.9	1118.7	31.6	261.7	785.1	31.404	0.113	170.297	33.058	619.755	2024	3	23	0	31	34
365334	25.0	7	0.141	1711153958.419	435.9	3051.2	33.4	305.9	2141.3	85.652	0.308	170.37	37.002	619.054	2024	3	23	0	32	38
365337	25.0	5	0.101	1711154022.419	459.9	2299.7	35.7	322.8	1613.9	64.556	0.232	170.482	40.945	618.334	2024	3	23	0	33	42
365340	25.0	13	0.263	1711154086.419	363.8	4728.9	28.7	255.3	3318.8	132.752	0.478	170.642	44.887	617.612	2024	3	23	0	34	46
