Time (unixtime),Longitude (deg),Latitude (deg),Altitude (km)
1711164712.419000,121.798000,-18.132000,625.335000
1711164776.419000,121.780000,-14.437000,625.252000
1711164840.419000,121.754000,-10.741000,625.126000
1711165305.920000,121.510000,18.836000,622.240000
1711165608.419000,121.656000,37.325000,619.123000
1711165672.419000,121.763000,41.022000,618.434000
1711165736.419000,121.912000,44.718000,617.735000
1711165800.419000,122.116000,48.413000,617.024000
1711166504.419000,-112.026000,85.492000,610.133000
1711166568.419000,-90.922000,82.468000,609.803000
1711166632.419000,-82.534000,79.014000,609.529000
1711166696.419000,-78.296000,75.432000,609.295000
1711166760.420000,-75.809000,71.798000,609.119000
1711167465.420000,-70.386000,27.446000,610.197000
1711167528.520000,-70.372000,23.737000,610.472000
1711167593.420000,-70.372000,20.027000,610.767000
1711167657.420000,-70.385000,16.317000,611.068000
1711167721.419000,-70.406000,12.607000,611.379000
1711168425.419000,-70.606000,-31.887000,615.071000
1711169385.419000,34.049000,-86.450000,620.281000
1711169449.419000,69.333000,-84.035000,620.662000
1711169513.419000,81.988000,-80.729000,621.054000
1711169577.419000,87.754000,-77.206000,621.453000
1711169640.719000,90.932000,-73.605000,621.840000
1711170345.419000,97.415000,-29.472000,625.222000
1711170409.419000,97.437000,-25.779000,625.286000
1711170473.419000,97.443000,-22.085000,625.311000
1711170537.419000,97.435000,-18.391000,625.275000
1711170601.419000,97.418000,-14.696000,625.194000
1711171242.420000,97.148000,25.974000,621.039000
1711171306.419000,97.172000,29.672000,620.420000
1711171370.419000,97.220000,33.543000,619.742000
1711171434.419000,97.292000,37.216000,619.078000
1711171498.420000,97.406000,41.159000,618.348000
1711171561.619000,97.566000,45.052000,617.618000
1711172202.419000,127.064000,84.300000,611.025000
1711172266.419000,165.734000,86.553000,610.618000
1711172330.419000,-138.912000,85.663000,610.244000
1711172394.419000,-116.178000,82.700000,609.922000
1711173162.419000,-94.842000,35.125000,609.875000
1711173226.419000,-94.785000,31.417000,610.113000
1711173290.419000,-94.751000,27.708000,610.372000
1711173354.419000,-94.736000,23.999000,610.652000
1711173418.419000,-94.736000,20.289000,610.936000
1711174122.419000,-95.023000,-24.215000,614.583000
1711174186.419000,-95.007000,-27.919000,614.872000
1711174250.419000,-94.972000,-31.623000,615.152000
1711174314.419000,-94.914000,-35.325000,615.431000
1711174378.419000,-94.826000,-39.026000,615.718000
1711175083.419000,-73.269000,-82.780000,619.492000
1711175147.419000,-50.046000,-85.713000,619.868000
1711175211.419000,5.593000,-86.534000,620.240000
1711175275.419000,43.503000,-84.252000,620.627000
1711175339.419000,57.028000,-80.975000,621.005000
1711176043.419000,72.932000,-37.120000,624.859000
1711176107.419000,73.003000,-33.428000,625.012000
1711176171.419000,73.048000,-29.736000,625.112000
1711176235.419000,73.072000,-26.042000,625.180000
1711176299.419000,73.078000,-22.348000,625.197000
1711177003.420000,72.778000,22.014000,621.555000
1711177131.420000,72.806000,29.410000,620.359000
1711177195.420000,72.850000,33.108000,619.722000
1711177259.420000,72.918000,36.805000,619.060000
1711177963.419000,88.355000,80.777000,611.516000
1711178027.419000,101.230000,84.086000,611.055000
1711178091.419000,137.277000,86.475000,610.644000
1711178155.419000,-166.010000,85.827000,610.283000
1711178219.419000,-141.489000,82.933000,609.969000
1711178924.419000,-119.299000,39.094000,609.709000
1711178988.419000,-119.210000,35.387000,609.923000
1711179052.419000,-119.151000,31.680000,610.159000
1711179116.419000,-119.115000,27.971000,610.425000
1711179180.419000,-119.099000,24.262000,610.702000
1711179884.419000,-119.386000,-20.245000,614.339000
1711179948.419000,-119.387000,-23.951000,614.624000
1711180012.420000,-119.372000,-27.656000,614.905000
1711180076.420000,-119.339000,-31.359000,615.189000
1711180140.419000,-119.283000,-35.062000,615.464000
1711180844.420000,-107.084000,-79.105000,619.101000
1711180908.419000,-98.559000,-82.545000,619.461000
1711180972.419000,-77.034000,-85.542000,619.823000
1711181036.420000,-23.019000,-86.601000,620.196000
1711181100.420000,17.582000,-84.466000,620.565000
1711181804.419000,48.457000,-41.073000,624.574000
1711181868.419000,48.564000,-37.382000,624.769000
1711181932.420000,48.637000,-33.691000,624.913000
1711182060.419000,48.708000,-26.305000,625.091000
1711182765.419000,48.424000,18.054000,622.041000
1711182829.419000,48.416000,21.752000,621.489000
1711182893.419000,48.420000,25.451000,620.906000
1711182957.419000,48.442000,29.149000,620.291000
1711183021.419000,48.483000,32.847000,619.652000
1711183725.419000,57.870000,76.996000,611.931000
1711183789.419000,63.433000,80.535000,611.443000
1711183853.419000,75.509000,83.870000,610.984000
1711183917.419000,109.045000,86.380000,610.576000
1711183981.419000,166.704000,85.980000,610.205000
1711184685.419000,-143.797000,43.058000,609.453000
1711184749.419000,-143.667000,39.353000,609.645000
1711184813.419000,-143.576000,35.646000,609.865000
1711184877.419000,-143.515000,31.938000,610.105000
1711185645.419000,-143.735000,-16.281000,614.030000
1711185709.419000,-143.748000,-19.987000,614.325000
1711185773.419000,-143.750000,-23.693000,614.613000
1711185837.419000,-143.736000,-27.398000,614.898000
1711185901.419000,-143.705000,-31.102000,615.180000
1711186670.419000,-131.847000,-78.860000,619.092000
1711186734.419000,-123.777000,-82.313000,619.452000
1711186798.419000,-103.776000,-85.368000,619.808000
1711187502.420000,23.728000,-48.707000,624.075000
1711187566.419000,23.936000,-45.020000,624.332000
1711187630.420000,24.089000,-41.330000,624.557000
1711187694.420000,24.198000,-37.640000,624.750000
1711187758.420000,24.273000,-33.948000,624.907000
1711188462.419000,24.108000,10.400000,623.036000
1711188526.419000,24.082000,14.098000,622.566000
1711188590.420000,24.063000,17.796000,622.048000
1711188654.419000,24.054000,21.494000,621.502000
1711188718.419000,24.057000,25.193000,620.912000
1711189422.419000,28.394000,69.480000,613.004000
1711189486.419000,30.254000,73.130000,612.437000
1711189550.420000,33.231000,76.746000,611.895000
1711189614.419000,38.543000,80.293000,611.395000
1711189678.419000,49.889000,83.652000,610.929000
1711190383.419000,-168.597000,50.721000,609.061000
1711190447.419000,-168.350000,47.019000,609.189000
1711190511.420000,-168.168000,43.315000,609.351000
1711190575.420000,-168.035000,39.609000,609.544000
1711190639.419000,-167.942000,35.902000,609.762000
1711191343.420000,-168.045000,-8.610000,613.355000
1711191407.420000,-168.073000,-12.318000,613.665000
1711191471.419000,-168.096000,-16.026000,613.962000
1711191535.420000,-168.109000,-19.732000,614.267000
1711191599.420000,-168.111000,-23.438000,614.560000
1711192495.419000,-156.582000,-78.617000,619.093000
1711193263.419000,-0.934000,-52.646000,623.829000
1711193327.419000,-0.648000,-48.961000,624.119000
1711193391.419000,-0.436000,-45.274000,624.380000
1711193455.419000,-0.280000,-41.585000,624.611000
1711194224.419000,-0.219000,6.446000,623.544000
1711194288.419000,-0.251000,10.144000,623.112000
1711194416.419000,-0.297000,17.540000,622.118000
1711194480.419000,-0.307000,21.238000,621.567000
1711195184.419000,2.718000,65.559000,613.612000
1711195312.419000,5.734000,72.878000,612.413000
1711195376.419000,8.607000,76.498000,611.865000
1711195440.419000,13.686000,80.052000,611.349000
1711196208.419000,167.023000,50.975000,608.917000
1711196272.419000,167.275000,47.273000,609.039000
1711196336.419000,167.461000,43.569000,609.201000
1711196400.419000,167.597000,39.863000,609.387000
1711197104.420000,167.629000,-4.649000,612.936000
1711197168.419000,167.596000,-8.357000,613.248000
1711197232.420000,167.567000,-12.066000,613.567000
1711197296.420000,167.544000,-15.773000,613.880000
1711197360.420000,167.530000,-19.480000,614.184000
1711198065.420000,170.119000,-63.836000,617.747000
1711198193.419000,172.621000,-71.160000,618.404000
1711198257.419000,174.900000,-74.791000,618.757000
1711198321.420000,178.704000,-78.376000,619.102000
1711199025.420000,-25.710000,-56.580000,623.575000
