Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
370694	25.0	28	0.5656565656565656	1711297201.4190001	2736.3	76615.9	73.1	1920.3	53769.5	2150.78	7.743	118.199	-70.568	618.56
370780	25.0	9	0.18181818181818182	1711298865.42	9805.2	88247.2	48.9	6881.4	61932.4	2477.296	8.918	-78.613	-5.515	625.194
370824	25.0	27	0.5454545454545454	1711299825.42	3655.7	98704.7	72.0	2565.6	69271.5	2770.86	9.975	-77.788	53.633	615.668
370827	18.272	26	0.7186576801287835	1711299889.42	2598.3	67556.4	70.7	1823.5	47411.5	2594.762	9.341	-77.368	57.323	614.937
370830	14.673	16	0.5507263736664677	1711299953.419	3309.2	52947.2	69.9	2322.4	37158.6	2532.447	9.117	-76.799	61.009	614.222
370873	20.288	16	0.3983048147086002	1711300785.42	4314.1	69025.9	71.6	3027.7	48442.8	2387.756	8.596	85.968	66.607	608.211
370879	25.0	19	0.3838383838383838	1711300914.419	3372.5	64078.2	73.5	2366.9	44970.4	1798.816	6.476	87.581	59.236	608.128
370882	25.0	3	0.06060606060606061	1711300978.4190001	3258.5	9775.6	77.3	2286.9	6860.6	274.424	0.988	88.073	55.54	608.163
370921	25.0	1	0.020202020202020204	1711301810.42	4003.6	4003.6	26.9	2809.7	2809.7	112.388	0.405	89.199	3.631	611.73
370960	14.683	12	0.41276347208377445	1711302642.42	3768.3	45219.8	77.3	2644.6	31735.5	2161.377	7.781	89.623	-48.238	616.577
370963	10.817	9	0.42021397295502866	1711302706.419	2664.5	23980.2	70.9	1869.9	16829.4	1555.829	5.601	89.895	-51.931	616.91
370969	14.693	19	0.6530973658177088	1711302834.4199998	2371.9	45066.2	70.2	1664.6	31627.7	2152.569	7.749	90.754	-59.306	617.615
370972	16.64	16	0.4856254856254856	1711302898.419	2235.1	35762.4	67.6	1568.6	25098.3	1508.311	5.43	91.428	-62.985	617.97
370996	25.0	14	0.2828282828282828	1711303372.0220003	2275.0	31849.8	70.5	1596.6	22352.4	894.096	3.219	-146.897	-85.654	621.078
