Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
369812	25.0	4	0.08080808080808081	1711279020.42	149.4	597.6	27.1	104.8	419.4	16.776	0.06	-173.526	-27.034	614.714
369848	6.893	65	4.762553725269524	1711279788.4190001	2695.7	175220.0	56.8	1891.9	122970.4	17839.896	64.224	-166.054	-74.928	618.977
369853	5.722	59	5.2076161827996845	1711279916.4190004	1745.5	102983.9	59.1	1225.0	72274.7	12631.021	45.472	-154.686	-81.983	619.734
369856	4.23	31	3.7013157580533464	1711279980.4199996	3188.7	98849.8	68.4	2237.8	69373.3	16400.307	59.041	-136.632	-85.106	620.12
369889	25.0	30	0.6060606060606061	1711280684.4189992	364.4	10933.0	27.2	255.8	7672.8	306.912	1.105	-6.081	-49.078	624.518
369892	25.0	60	1.2121212121212122	1711280748.4190006	453.2	27192.6	30.6	318.1	19083.9	763.356	2.748	-5.867	-45.391	624.775
369895	25.0	73	1.4747474747474747	1711280812.42	714.6	52167.9	38.0	501.5	36611.7	1464.468	5.272	-5.71	-41.702	624.995
369898	5.113	44	4.346219875263489	1711280876.42	1850.7	81430.2	59.2	1298.8	57148.2	11177.039	40.237	-5.597	-38.013	625.182
369937	25.0	4	0.08080808080808081	1711281644.419	224.7	899.0	25.7	157.7	630.9	25.236	0.091	-5.676	10.022	623.244
369940	25.0	6	0.12121212121212122	1711281709.419	419.8	2518.7	32.3	294.6	1767.6	70.704	0.255	-5.703	13.72	622.748
369943	25.0	16	0.32323232323232326	1711281773.419	126.2	2018.6	21.5	88.5	1416.7	56.668	0.204	-5.723	17.418	622.207
369946	25.0	6	0.12121212121212122	1711281837.419	656.4	3938.4	28.3	460.7	2764.0	110.56	0.398	-5.734	21.116	621.618
